Parametros;precisao-mean;precisao-std;revocacao-mean;revocacao-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;acuracia-mean;acuracia-std;tempo-mean;tempo-std
SVDD_RBF_0.001_scale_[2, 4, 6, 8, 10];0.2272932359083147;0.010316399419893822;0.826265877886261;0.06843410027937652;0.35628709632385686;0.017549913800226694;0.48587540679538677;0.040145539793672885;0.3305092494373119;0.029319736890036526;0.03847689628601074;0.002142842131715345
SVDD_RBF_0.01_scale_[2, 4, 6, 8, 10];0.2273759817962008;0.010237880430038218;0.8280255575043848;0.0680827443638948;0.35655283348144096;0.01738784017080706;0.48568124163006904;0.0402493254917894;0.3298359366190594;0.029371944584041992;0.04228167533874512;0.003404405537531792
SVDD_RBF_0.05_scale_[2, 4, 6, 8, 10];0.22733987935094246;0.010253075789729742;0.8277649287167312;0.0685967692042798;0.3564832691081975;0.017474061495121856;0.48589071988071586;0.040271490262993745;0.3298798326313513;0.02918483530751901;0.04040346145629883;0.0027340128536866817
SVDD_RBF_0.1_scale_[2, 4, 6, 8, 10];0.22639738555072605;0.010454725094575028;0.8188367470877271;0.06704323182399476;0.3544991253556128;0.01763720604299123;0.48370275106211535;0.04083735171235186;0.331270292159108;0.029277168038781554;0.041706633567810056;0.0015140272411887424
SVDD_RBF_0.2_scale_[2, 4, 6, 8, 10];0.22523304879484463;0.013073778004068528;0.7560144647490754;0.06536864998910084;0.34678029940217764;0.02047211144037756;0.48450677460600655;0.0388107095756426;0.360908381833443;0.035980282881694074;0.052124619483947754;0.0025307232571909356
SVDD_RBF_0.3_scale_[2, 4, 6, 8, 10];0.22222025165638523;0.015210678795876422;0.6887578407348738;0.07111325400752468;0.3356324579049074;0.023598702556103336;0.48138288265000906;0.03915386225140849;0.38849744112724754;0.03844078555598667;0.06279895305633545;0.0027355315084760684
SVDD_RBF_0.4_scale_[2, 4, 6, 8, 10];0.21781927317678082;0.015386645651823756;0.6019574126530457;0.058132583835796434;0.3195011884947263;0.022667239145649876;0.4779450433789737;0.037004044658067774;0.42454499122765227;0.03673155701341993;0.07367484569549561;0.002307621754480084
SVDD_RBF_0.5_scale_[2, 4, 6, 8, 10];0.21039222305708102;0.017344255271956977;0.5169779886099657;0.0740720382671574;0.29833166858472315;0.028181028981399764;0.46774200020247936;0.03812976162168955;0.4565389420949648;0.03795801877727224;0.08454179763793945;0.0028931276178593064
SVDD_RBF_0.6_scale_[2, 4, 6, 8, 10];0.20481992793451753;0.015801914447723664;0.4325864126487987;0.06447040647864881;0.2771955531567277;0.026411932990411224;0.4616130719982614;0.031133226706765094;0.4963919949885029;0.03248034547994361;0.09598801136016846;0.003699597406413523
SVDD_RBF_0.7_scale_[2, 4, 6, 8, 10];0.19581835828608538;0.016089468924795552;0.3380320127065558;0.05233882650950545;0.24696031834162685;0.024844432453244462;0.4549998217656362;0.028059110288142744;0.539816249390357;0.033084516031877516;0.10628719329833984;0.004010237830540546
