Parametros;precisao-mean;precisao-std;revocacao-mean;revocacao-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;acuracia-mean;acuracia-std;tempo-mean;tempo-std
SVDD_RBF_0.001_scale_[2, 4, 6, 8, 10];0.46896406161162574;0.07346612411809268;0.42072100242448957;0.10902730288459068;0.43983052585501364;0.08389689644192158;0.4951731660715405;0.07314295345211182;0.49622995905866174;0.055132490905719415;0.013006186485290528;0.0009888728293613986
SVDD_RBF_0.01_scale_[2, 4, 6, 8, 10];0.47014310981281515;0.07153737999446602;0.4285910769718805;0.10434721451167514;0.44467373050482994;0.0793364552287248;0.4915706374181784;0.07285770406626023;0.49556604264983173;0.05483721686465063;0.013103795051574708;0.0007124012576706594
SVDD_RBF_0.05_scale_[2, 4, 6, 8, 10];0.4696821733682631;0.07157382875215854;0.42859141685360164;0.10420040110217284;0.44453013623651694;0.07960668525154885;0.4918192665619031;0.07308303154355136;0.49525992020085213;0.05490772827053281;0.013693976402282714;0.0005227550895460644
SVDD_RBF_0.1_scale_[2, 4, 6, 8, 10];0.46984437201276164;0.07178668964960437;0.42848480728706406;0.10449508189632706;0.4445169816784234;0.0798077942298273;0.4917881082938692;0.07306179262042484;0.4954130074694502;0.05503490605731208;0.012815737724304199;0.0005716383780051385
SVDD_RBF_0.2_scale_[2, 4, 6, 8, 10];0.4698275441413896;0.07137226655097112;0.42720662542768456;0.10161118426723109;0.44408034801266966;0.07883721824689369;0.4912467790097934;0.07282710608453928;0.4954640539217219;0.05480673151892969;0.01289832592010498;0.0005563624950476132
SVDD_RBF_0.3_scale_[2, 4, 6, 8, 10];0.4659978989394834;0.07576131728053748;0.3991022590805066;0.0956623788655865;0.4273077154703889;0.0803681037264304;0.4866998805526788;0.0733661514917233;0.4944428644352075;0.05549030349553527;0.013201594352722168;0.00032563380692574435
SVDD_RBF_0.4_scale_[2, 4, 6, 8, 10];0.4587999637328434;0.09186423740279362;0.34748702784764235;0.1080638967370335;0.391549130275994;0.09459461616178645;0.48810387207474026;0.07728803958665663;0.4940870237834797;0.05805461653591971;0.013461065292358399;0.0005143082320248194
SVDD_RBF_0.5_scale_[2, 4, 6, 8, 10];0.45597445292388483;0.09838794178481826;0.2972556816894387;0.10793930778953426;0.3550618415446077;0.09929287877589028;0.48612274639536557;0.07280416823029821;0.49740329822587537;0.05423164518112404;0.01431567668914795;0.001508966323379121
SVDD_RBF_0.6_scale_[2, 4, 6, 8, 10];0.4611981942999619;0.10529192678423868;0.23542269956721723;0.08650641378163645;0.30673363906613915;0.08871271452083149;0.48474583633784335;0.06936094681787085;0.5019446614786804;0.05004429448924236;0.014692139625549317;0.0014443250371149385
SVDD_RBF_0.7_scale_[2, 4, 6, 8, 10];0.4685988722126502;0.12330910928080022;0.19231198876124442;0.06863155398886822;0.2669010182465269;0.0758973813486117;0.48404203870386436;0.0696753614832521;0.5030675532081132;0.04867830848832129;0.015357351303100586;0.0009301828995583092
