Parametros;precisao-mean;precisao-std;revocacao-mean;revocacao-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;acuracia-mean;acuracia-std;tempo-mean;tempo-std
SVDD_RBF_0.001_scale_5_[384, 256]_[2, 4, 6, 8, 10]_concatenate;0.6419365924407294;0.05579268600991789;0.9611538984433416;0.01856222091117542;0.7679166368064246;0.04042278779036513;0.7879984640900521;0.052349801913865894;0.7172823493869216;0.07301869060035834;0.014347171783447266;0.000626759676382903
SVDD_RBF_0.01_scale_5_[384, 256]_[2, 4, 6, 8, 10]_concatenate;0.6410597337185823;0.05515078740804328;0.9632822377812522;0.018519823868891953;0.7680178305744119;0.04029456819059515;0.7897908841056646;0.04703737182457518;0.7168741340333991;0.07285154796072865;0.015297007560729981;0.0009997584194171424
SVDD_RBF_0.05_scale_5_[384, 256]_[2, 4, 6, 8, 10]_concatenate;0.7092719683054542;0.03798382138692032;0.90932476831396;0.01854750312971557;0.796011604260207;0.02248379137010351;0.8176511883864415;0.02652387809608747;0.775358705503641;0.03549951716383851;0.019482874870300294;0.0008513477947708955
SVDD_RBF_0.1_scale_5_[384, 256]_[2, 4, 6, 8, 10]_concatenate;0.740877745113134;0.019404701187268742;0.8437704212267464;0.03674283804139022;0.7882967622050162;0.015783628896881025;0.8258080201423239;0.01675756199861269;0.7829651477742706;0.014487193818707212;0.025579667091369628;0.0005250840463642638
SVDD_RBF_0.2_scale_5_[384, 256]_[2, 4, 6, 8, 10]_concatenate;0.7651259473977119;0.022725821407229913;0.7329952643146851;0.07897090344892874;0.7458426500814848;0.04093178481493404;0.8344860734020116;0.018767688214706334;0.7631164640435041;0.024858154133663008;0.03765194416046143;0.0007473185773842129
SVDD_RBF_0.3_scale_5_[384, 256]_[2, 4, 6, 8, 10]_concatenate;0.781407500138038;0.02379431710031919;0.6250837241973126;0.09308280769992301;0.6903763149198323;0.06021898166720147;0.8410037573591056;0.017516126477067236;0.7359699346813764;0.03308487732403739;0.04918844699859619;0.0010833478624016862
SVDD_RBF_0.4_scale_5_[384, 256]_[2, 4, 6, 8, 10]_concatenate;0.795323838535351;0.03341719007047633;0.5460043504860309;0.08353819690501;0.6434300767082755;0.06083257683996906;0.8448520846967478;0.016669569786661852;0.7143324113718995;0.03184634940318666;0.06015379428863525;0.0008183890387428658
SVDD_RBF_0.5_scale_5_[384, 256]_[2, 4, 6, 8, 10]_concatenate;0.8220754849224644;0.048789316957240474;0.4782140348492058;0.08462608515102499;0.599167727739743;0.06590773474588588;0.8498389962515267;0.01787517961712245;0.6986151305851591;0.03131881284309552;0.07251687049865722;0.0008939547960868404
SVDD_RBF_0.6_scale_5_[384, 256]_[2, 4, 6, 8, 10]_concatenate;0.8446227325825136;0.043833437516007566;0.38806981170552646;0.08796372161703435;0.5245638190251809;0.07840240328096193;0.8539034849205809;0.015507217649569057;0.6707018626746258;0.030804419388581666;0.0833698034286499;0.0013713953020762183
SVDD_RBF_0.7_scale_5_[384, 256]_[2, 4, 6, 8, 10]_concatenate;0.8709562476252083;0.031176809580095756;0.29590408537828833;0.0869630335851438;0.4337048547993663;0.09678777562043468;0.8566193194768221;0.015974289164598244;0.640595394359888;0.03343095427497871;0.09468469619750977;0.0024856815834879086
