Parametros;precisao-mean;precisao-std;revocacao-mean;revocacao-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;acuracia-mean;acuracia-std;tempo-mean;tempo-std
SVDD_RBF_0.001_scale_[2, 4, 6, 8, 10];0.5269797724376539;0.0627452699050546;0.6476240001812703;0.14705105249694556;0.5751947487096892;0.08337174113155553;0.5575236772047771;0.09098008271320862;0.5524594753674823;0.062304953953748445;0.012072038650512696;0.0005949132905405387
SVDD_RBF_0.01_scale_[2, 4, 6, 8, 10];0.5252223033132255;0.0614226568794133;0.649966125121791;0.14867518726875475;0.5751594008959731;0.08449892816038111;0.5545765281459829;0.08950470178846329;0.5511836005458844;0.06268065751884454;0.012709569931030274;0.0008275427539022338
SVDD_RBF_0.05_scale_[2, 4, 6, 8, 10];0.5252290246917282;0.062043135864686724;0.6492211043890059;0.14853344301816765;0.5748603920087639;0.08476895668894303;0.554130440162379;0.08958847869559487;0.551081559729558;0.06328096405061218;0.012822771072387695;0.0007055188971447721
SVDD_RBF_0.1_scale_[2, 4, 6, 8, 10];0.5252530169474658;0.06215595408479983;0.6491146081163756;0.14844284253671713;0.5748349138687706;0.08474468065044022;0.5541180932368869;0.08960871580073838;0.5510815076413413;0.06332331718556224;0.012691593170166016;0.0007450963140203746
SVDD_RBF_0.2_scale_[2, 4, 6, 8, 10];0.5252643714894997;0.05870654201740822;0.6261318061314662;0.13986481466956915;0.5659654013509682;0.08126716320140327;0.5573565185981946;0.08636657812444547;0.5504200393786918;0.05801604300951223;0.013094615936279298;0.0005432359220579496
SVDD_RBF_0.3_scale_[2, 4, 6, 8, 10];0.5350324362582226;0.06643550739177398;0.5712160967983142;0.142483226276826;0.5459476362054807;0.08803293921988452;0.565498082000797;0.07671438948926494;0.557311544832328;0.057381715234601255;0.01384577751159668;0.00047854859306358053
SVDD_RBF_0.4_scale_[2, 4, 6, 8, 10];0.5406109659411784;0.07397734212632792;0.5171513380010422;0.1281768999320744;0.5223285353706412;0.08688058243760527;0.5653940215471682;0.0775167835769579;0.5575655009323791;0.05810134211068407;0.014746332168579101;0.0004975883047181569
SVDD_RBF_0.5_scale_[2, 4, 6, 8, 10];0.5437029072613739;0.08727127287342051;0.45946593252214896;0.1117883173651719;0.4916909253983949;0.08465112615212417;0.5645925204695433;0.0755392038987087;0.5535852319488285;0.05801824304834002;0.015539169311523438;0.00038403955259181256
SVDD_RBF_0.6_scale_[2, 4, 6, 8, 10];0.543980545042481;0.10386473280105302;0.3843235220809825;0.10351408214306501;0.44442430064534577;0.09051518746027065;0.5599147702155205;0.06832125917518789;0.5483289579231386;0.05934557467568989;0.016728878021240234;0.00036699788221748286
SVDD_RBF_0.7_scale_[2, 4, 6, 8, 10];0.5430063837222512;0.10835172414197035;0.3037545600797589;0.09534590708363537;0.3843339230254479;0.09465160071722234;0.5583640818550699;0.065613424332659;0.5430742204998384;0.057995747928357225;0.017560076713562012;0.0003081100750591601
SVDD_RBF_0.8_scale_[2, 4, 6, 8, 10];0.5378733215867212;0.120742948503181;0.21764790519565863;0.07106668006067343;0.30678623573954755;0.08784698762718067;0.5527063889544216;0.060551400356750607;0.5354697054932234;0.049154705650331185;0.01834723949432373;0.00032673253780601184
SVDD_RBF_0.9_scale_[2, 4, 6, 8, 10];0.5474178131351469;0.17965081595202484;0.10856637890014276;0.03868067203055528;0.17962948814740134;0.06001117345150972;0.5500601521781532;0.0568081088435283;0.5272021595774604;0.03327095762524622;0.01933131217956543;0.00044079252465478746
SVDD_RBF_0.001_scale_[3, 5, 7, 9];0.49943746071676964;0.033822831139941306;0.6677476038338659;0.1213170400951746;0.5672618997246708;0.0644841974999993;0.5275011271633028;0.07916500548680111;0.5211278140659019;0.03939181332445336;0.013476395606994629;0.0013206980275923283
SVDD_RBF_0.01_scale_[3, 5, 7, 9];0.5015655187936241;0.0370257785564739;0.6731833322003942;0.12730559179533305;0.5700479495841699;0.07077265482485104;0.5263444053691538;0.08394590961698692;0.5240886645623026;0.04294922173552201;0.013429093360900878;0.0006746481125066929
SVDD_RBF_0.05_scale_[3, 5, 7, 9];0.5020722639024361;0.037086341233313926;0.6731835587882082;0.1255244171163156;0.5704480855437389;0.06958807170992536;0.526390365708289;0.08415390562708737;0.5244459376399871;0.04328959917625454;0.01340782642364502;0.0005245338920581702
SVDD_RBF_0.1_scale_[3, 5, 7, 9];0.5011127718548696;0.03799871714381335;0.6702013232728343;0.1259195037942384;0.5687431156339252;0.07014374161502059;0.5258593851561879;0.084708603233293;0.5232207186090363;0.044712917054900665;0.013546371459960937;0.0007157277075940695
SVDD_RBF_0.2_scale_[3, 5, 7, 9];0.5035793010039606;0.04023562735105672;0.6559381868443115;0.11958243367742992;0.5652835519663526;0.06850447060117093;0.529252077610325;0.08183397461009281;0.5257207706972529;0.045555766599804544;0.014017009735107422;0.0005774734647360077
SVDD_RBF_0.3_scale_[3, 5, 7, 9];0.49922740282345845;0.0468250777759557;0.5737713275780028;0.09597557599189095;0.5306505993183832;0.06480973730711953;0.5254743438172405;0.0794977790826493;0.5198503245095896;0.04717518822136297;0.014743709564208984;0.0004946607670875193
SVDD_RBF_0.4_scale_[3, 5, 7, 9];0.5046041332246494;0.05915237312466941;0.5251291550540412;0.0910452789401566;0.5115177257505252;0.07043088750549673;0.5302731598292683;0.07554659888143485;0.5247502630454939;0.053775731050996776;0.015992164611816406;0.0004988185740162985
SVDD_RBF_0.5_scale_[3, 5, 7, 9];0.5030880226909532;0.06466156019666791;0.4687281625994154;0.09153163306763044;0.48162449821114217;0.07433092525966332;0.5299046796159381;0.07265648924921661;0.5227606494358846;0.05431059498047731;0.017334794998168944;0.0012778798636743636
SVDD_RBF_0.6_scale_[3, 5, 7, 9];0.5047985231195699;0.08084798976477572;0.4080574626696576;0.08513182139297636;0.4472264696592421;0.07552731698776198;0.5280458378262143;0.07157796407112643;0.5216373930889354;0.05887477024354787;0.01810345649719238;0.0014299781607859635
SVDD_RBF_0.7_scale_[3, 5, 7, 9];0.503001067258971;0.09993787221928359;0.33173747535857523;0.10022878017463367;0.3936183323848944;0.09490777419116087;0.5256096992690988;0.06906177747740674;0.5213822389599024;0.060399495126464496;0.019136953353881835;0.001026991807362786
SVDD_RBF_0.8_scale_[3, 5, 7, 9];0.5168977236124311;0.14176671601887986;0.2490407404889765;0.08391180006897299;0.3301222509750793;0.0962842961518093;0.5265702776544873;0.06870650275082689;0.5248502984654813;0.06071124093853271;0.019702792167663574;0.000693335011976848
SVDD_RBF_0.9_scale_[3, 5, 7, 9];0.5051418548099204;0.1964647521183079;0.1206853148437677;0.04865478868871018;0.18996955026361922;0.06827624993649248;0.5261691247001599;0.06660078987850164;0.5160218926774385;0.03686149428249832;0.02049565315246582;0.00047827910317382595
