Parametros;precisao-mean;precisao-std;revocacao-mean;revocacao-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;acuracia-mean;acuracia-std;tempo-mean;tempo-std
SVDD_RBF_0.001_scale_[2, 4, 6, 8, 10];0.5060051892944196;0.01000610194085256;0.8977823263076378;0.026419082717670385;0.646960912807222;0.008128885504292064;0.5581641272069346;0.028669516038097448;0.5358827103548798;0.016070250720224145;0.041098165512084964;0.0035064206256605513
SVDD_RBF_0.01_scale_[2, 4, 6, 8, 10];0.5063583266416873;0.009757469192066959;0.8987087287976735;0.025532497497527475;0.6474974874817205;0.007533107246374618;0.5579747600660856;0.028221591066107325;0.5364824613226846;0.015665238508557684;0.043236064910888675;0.004315508417351098
SVDD_RBF_0.05_scale_[2, 4, 6, 8, 10];0.5067094794545393;0.009336602136905202;0.8896605244033065;0.02625541065282402;0.6453840341329189;0.006012657147423271;0.5591375658414536;0.026296095111719573;0.5369065683375479;0.014642250944460162;0.044438743591308595;0.001936010621346725
SVDD_RBF_0.1_scale_[2, 4, 6, 8, 10];0.5102175541226182;0.010687364230641259;0.8559376526166103;0.03374979404072742;0.6388486427762904;0.006655005853370368;0.5588354220647768;0.023294279043551608;0.5417338800265277;0.015692952803419244;0.05525705814361572;0.0017897108625262047
SVDD_RBF_0.2_scale_[2, 4, 6, 8, 10];0.514043838772283;0.01017928516645646;0.7806795213752404;0.0433169103111642;0.6191993775833581;0.011335051455826166;0.56105979163962;0.019563561440691213;0.5458004551868285;0.013088262059806505;0.0777940034866333;0.002532531291785241
SVDD_RBF_0.3_scale_[2, 4, 6, 8, 10];0.5152287656775469;0.010926966715359842;0.6979480127636829;0.05235799793149172;0.591698381046758;0.01692675377223367;0.5617409078165826;0.019049578626051677;0.5450834969912532;0.012069918655581786;0.10215935707092286;0.004459906041165219
SVDD_RBF_0.4_scale_[2, 4, 6, 8, 10];0.5166523513143574;0.015428396668371742;0.6059833053041597;0.0625064384358168;0.5559264043705608;0.026372298921126247;0.5631748311196014;0.019074429666373474;0.543971846986499;0.01445504761071321;0.12680771350860595;0.004524582649024042
SVDD_RBF_0.5_scale_[2, 4, 6, 8, 10];0.5178511062793364;0.018885401060116526;0.5241486603300838;0.06278267226632148;0.5188011192557178;0.03216264814413663;0.5632228119340901;0.018439066274334347;0.5426553068514323;0.016093704474975722;0.15217247009277343;0.004672312009166069
SVDD_RBF_0.6_scale_[2, 4, 6, 8, 10];0.5182301923204429;0.02328957931395061;0.4301460676235679;0.06285538348268989;0.4675514173913025;0.03946930736968672;0.5625815689219144;0.01861441586640026;0.5401831094414252;0.01647448339776393;0.17597150802612305;0.005024091702961365
SVDD_RBF_0.7_scale_[2, 4, 6, 8, 10];0.5134401802953313;0.02773884538953857;0.3292563932355455;0.056169326897999985;0.39857057943197305;0.04409625287859572;0.5625558428420394;0.019179179277659112;0.5342733361558922;0.01518245292067283;0.2010420799255371;0.0047673759424740015
