Parametros;precisao-mean;precisao-std;revocacao-mean;revocacao-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;acuracia-mean;acuracia-std;tempo-mean;tempo-std
SVDD_RBF_0.001_scale_5_[384, 256];0.5611512610970142;0.008608134405693522;0.43502404012554685;0.0258962091602751;0.48952265581171506;0.013948179929440519;0.6005017821749075;0.005343451411285119;0.5709312189132326;0.004176501391740558;0.2386753797531128;0.01034220048036535
SVDD_RBF_0.01_scale_5_[384, 256];0.5606972502353744;0.008299604006381859;0.43755621964472907;0.025724424525758606;0.49096224172046565;0.013825973318371668;0.6004077023704516;0.005392080941683669;0.5709019513398725;0.003996750512824522;0.2634060621261597;0.009738773181362575
SVDD_RBF_0.05_scale_5_[384, 256];0.5606041872315133;0.00838699898511172;0.43749445312218427;0.025782722355046136;0.49088271084567897;0.01382820120284669;0.6004048230236945;0.005393772159664515;0.5708288155702548;0.004036386674592087;0.26526381969451907;0.00951280141329244
SVDD_RBF_0.1_scale_5_[384, 256];0.5606015618592739;0.008336081002167709;0.43749445312218427;0.025782722355046136;0.49088252274705546;0.013832142477006737;0.6004051147736206;0.005400352846102182;0.5708288155702548;0.004000173667446006;0.2636861324310303;0.009391804844313014
SVDD_RBF_0.2_scale_5_[384, 256];0.5619308653978276;0.008420589039726782;0.42183749779030694;0.026642220656926976;0.48129321740519515;0.015169754408172875;0.599838375093648;0.0049913897178923495;0.5700827759464238;0.00401444649501507;0.2776781558990479;0.01258640572521029
SVDD_RBF_0.3_scale_5_[384, 256];0.5655863850941331;0.010506131125382158;0.3748046936454853;0.027414224405302952;0.4501343303585176;0.018418506454904515;0.5988749519407632;0.005809578055083692;0.5672302391566626;0.005360792444614462;0.3194468021392822;0.013472228502067855
SVDD_RBF_0.4_scale_5_[384, 256];0.5733739216625652;0.011377416864582572;0.31807570870839313;0.023212691104141557;0.4086029528564927;0.0188742379403462;0.5983818720508428;0.006584230603658998;0.5647288319424656;0.005498974002239995;0.36757497787475585;0.012196133317950601
SVDD_RBF_0.5_scale_5_[384, 256];0.5808973439349309;0.01399768067569863;0.2564072040474903;0.018164997862574056;0.35535784032003;0.017664712829281833;0.5967357992325242;0.0064990061372320815;0.5600333152665602;0.005477471434898478;0.4336341381072998;0.012175913375656591
SVDD_RBF_0.6_scale_5_[384, 256];0.5907122064310639;0.014839382258305101;0.19893597201036395;0.020270233921354835;0.29698320720475246;0.02208671979708568;0.5943405630709646;0.006117150974812046;0.5551036451661797;0.004342444383199725;0.49636211395263674;0.013905743573661176
SVDD_RBF_0.7_scale_5_[384, 256];0.6023316523153421;0.02478276280376246;0.14356535475894944;0.021649671737224773;0.2309362794715975;0.027541684050091945;0.5922470580337651;0.006015583132510237;0.5491499951259937;0.005029206839662552;0.5487759828567504;0.008071456938889499
SVDD_RBF_0.8_scale_5_[384, 256];0.6055755121030361;0.029016859313725198;0.09193202211847921;0.017940830884910133;0.1589131359087102;0.0266233627962061;0.5898158107070846;0.005589691982132385;0.5413678674010113;0.004274622198365313;0.6228358507156372;0.007229072585382305
SVDD_RBF_0.9_scale_5_[384, 256];0.626551837461377;0.03204693883967849;0.04524028779118606;0.010053345911721674;0.08413798472469958;0.01731959141348787;0.5871717352715184;0.005676391248549959;0.5349461950785288;0.002913490083731178;0.6899665832519531;0.008308945642073467
SVDD_RBF_0.001_scale_5_[256, 128];0.5635933928105925;0.017641246983732428;0.39531130308292944;0.022535145344067323;0.46408067495291866;0.0148265569814098;0.5931029882897778;0.015291729663004208;0.5680492776157815;0.010247818662309538;0.12277541160583497;0.004409678883764466
SVDD_RBF_0.01_scale_5_[256, 128];0.5639241959577465;0.01800190804635916;0.39809069171449485;0.022127923198453643;0.4661026623305588;0.01424634170682678;0.5933467339089438;0.015375972556160213;0.5685027570443512;0.010395281371045943;0.1321094512939453;0.008253424581016636
SVDD_RBF_0.05_scale_5_[256, 128];0.5639128183421315;0.017872777984411815;0.39812155590614007;0.022081174178642093;0.46612206588982075;0.014169975853409093;0.5933432525863139;0.01533602690278617;0.5685027527651535;0.01029866983333175;0.13234233856201172;0.007247061807458217
SVDD_RBF_0.1_scale_5_[256, 128];0.5641311818715262;0.017740395905886493;0.39772013071848067;0.022027573051238945;0.4659310692900207;0.014230331198851984;0.5933832539834786;0.01531405645025327;0.5686051539685323;0.010239399129022081;0.13309023380279542;0.009347777893351082
SVDD_RBF_0.2_scale_5_[256, 128];0.5680612348467726;0.017909486041678576;0.37474430013609994;0.019107360645804584;0.4510695474360563;0.013177678607118454;0.593632467826198;0.014937130222175436;0.5683565496930831;0.009641806107628013;0.14496426582336425;0.009039538999162279
SVDD_RBF_0.3_scale_5_[256, 128];0.5755114393018206;0.019379089513118643;0.324190994902498;0.019016940953304553;0.41418397200206136;0.014640668446397017;0.5926528267265272;0.013901363662501151;0.5661185035679523;0.009038746788285819;0.1714791774749756;0.006698347125580444
SVDD_RBF_0.4_scale_5_[256, 128];0.5805000389183352;0.019267264174761694;0.27481214033491225;0.017150519828883246;0.37251908204832596;0.015292096465731096;0.591414758149057;0.01314062216658315;0.5620227100450659;0.0076186412530803785;0.19848160743713378;0.005530257608550465
SVDD_RBF_0.5_scale_5_[256, 128];0.589958850133095;0.01705206206903157;0.22249901362353236;0.021333819993214723;0.32227829796989466;0.021673628915158456;0.5898455153853642;0.012308712347109552;0.5580292449791957;0.004567847209797503;0.2285691976547241;0.005926402912751335
SVDD_RBF_0.6_scale_5_[256, 128];0.5994938262796928;0.01610584575925538;0.1679933183840169;0.016721089909032535;0.26188089116370467;0.01967980432991199;0.5880943714942793;0.01222418006054602;0.5524998453069995;0.0035960842374268766;0.2622444868087769;0.007350912043266608
SVDD_RBF_0.7_scale_5_[256, 128];0.6108897444444469;0.02095579064579914;0.1270446406624331;0.016281546928032107;0.20979452303293175;0.0224109421941741;0.5872004937136237;0.011979040081105223;0.5480090304767036;0.004360440558353578;0.29269981384277344;0.009951947232821477
SVDD_RBF_0.8_scale_5_[256, 128];0.6174071806886381;0.03999737292678639;0.07988946671978195;0.009703781416582902;0.14123477258138267;0.015435791461890707;0.5856741427815849;0.011292647965122173;0.5405195528101363;0.00458660615485663;0.32868907451629636;0.007612557960416959
SVDD_RBF_0.9_scale_5_[256, 128];0.6377576607494573;0.03713062587964794;0.03631620760035248;0.0037597855896684754;0.06866446442385736;0.006731577877352266;0.5838964056434428;0.010657573285530653;0.5336297747610004;0.001789079770451366;0.35480237007141113;0.007383253677875852
SVDD_RBF_0.001_scale_5_[256];0.5581335345358747;0.011472352550072082;0.47053754990759805;0.029047724708334503;0.5098777778622697;0.014816727260377152;0.6000897054662359;0.00795762892495422;0.5722768148013685;0.006891353209170201;0.2208014965057373;0.013745462135210655
