Parametros;precisao-mean;precisao-std;revocacao-mean;revocacao-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;acuracia-mean;acuracia-std;tempo-mean;tempo-std
SVDD_RBF_0.001_scale_5_[384, 256]_[2, 4, 6, 8, 10]_concatenate;0.236341961927314;0.009986531201406615;0.9370559606572415;0.04202505508001793;0.3770193197366651;0.00916380988114483;0.5668082940087886;0.05758782382665933;0.3027561777446618;0.055966291009947426;0.04148411750793457;0.0027274858929787196
SVDD_RBF_0.01_scale_5_[384, 256]_[2, 4, 6, 8, 10]_concatenate;0.2346132737624051;0.008760754779605511;0.9444193503178763;0.037980218847861846;0.3755035927603899;0.008207976658743813;0.5617442789506646;0.05213305668030977;0.2931259513087575;0.05009881014643269;0.04510407447814942;0.003856724992079305
SVDD_RBF_0.05_scale_5_[384, 256]_[2, 4, 6, 8, 10]_concatenate;0.23656810010365983;0.008754309364308918;0.9247380759250687;0.03109203795849944;0.3764648935202888;0.008766157450976112;0.5680508812768662;0.04986377784278327;0.3107476639918346;0.0457856181006739;0.05040090084075928;0.003667414984657021
SVDD_RBF_0.1_scale_5_[384, 256]_[2, 4, 6, 8, 10]_concatenate;0.2413309901792864;0.0082646260217028;0.8919566906896449;0.026255289472954656;0.3796542584724764;0.00853505662088593;0.5805480554145137;0.04472013018710741;0.344367031155801;0.03922853814193308;0.059314179420471194;0.002996121093390817
SVDD_RBF_0.2_scale_5_[384, 256]_[2, 4, 6, 8, 10]_concatenate;0.24955238094792734;0.012911695216175387;0.821580929973797;0.057405502966848834;0.381937515767243;0.010924478278525059;0.5846895220787776;0.03456822025935206;0.40115348275399965;0.05929071822887625;0.07993659973144532;0.005501023533795396
SVDD_RBF_0.3_scale_5_[384, 256]_[2, 4, 6, 8, 10]_concatenate;0.25661016144882465;0.012381193001091383;0.7575832912188016;0.05719542370885832;0.38242723424456265;0.010661155502087873;0.5858330393849078;0.035062774351392996;0.449321389756489;0.05475498929804587;0.09632012844085694;0.0021520745440316417
SVDD_RBF_0.4_scale_5_[384, 256]_[2, 4, 6, 8, 10]_concatenate;0.26475227937134943;0.01706526114345182;0.6913764444576568;0.07217443307065903;0.38110004017091464;0.014705904235697669;0.5874065966683928;0.035779663533177;0.49423862268142854;0.0657531509636995;0.11706280708312988;0.004949758084842969
SVDD_RBF_0.5_scale_5_[384, 256]_[2, 4, 6, 8, 10]_concatenate;0.26883947989486817;0.015289007318124319;0.6277032645486242;0.05648425824954134;0.3751862277617185;0.01397512409516865;0.5864451477488808;0.029276754225958025;0.5297167370533753;0.04968742798523991;0.13370938301086427;0.0053678579224168054
SVDD_RBF_0.6_scale_5_[384, 256]_[2, 4, 6, 8, 10]_concatenate;0.27437788808541697;0.016282141289855175;0.578174579243977;0.0564989729657701;0.37046825827472585;0.011455048526799351;0.5875834563390921;0.026249443825385407;0.5579787878497071;0.05015706885309263;0.15475637912750245;0.0031596100898567026
SVDD_RBF_0.7_scale_5_[384, 256]_[2, 4, 6, 8, 10]_concatenate;0.281925884575662;0.023533821460397036;0.4937922614017132;0.06748490035098292;0.35548908082991965;0.012076455750599435;0.587243926112355;0.027673413997920608;0.5973335978689998;0.05871080429948949;0.1701613187789917;0.00401730648326477
