Parametros;precisao-mean;precisao-std;revocacao-mean;revocacao-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;acuracia-mean;acuracia-std;tempo-mean;tempo-std
SVDD_RBF_0.001_scale;0.5127373956450398;0.0035259069133041963;0.810818714398198;0.02652104517401096;0.6279986736730069;0.006381521643127899;0.5979717464650187;0.004329760137449531;0.5452444761333306;0.004705384133401054;0.488317608833313;0.036180991422621524
SVDD_RBF_0.01_scale;0.5124805314407135;0.003187670892090753;0.8115907291863124;0.026757810122823605;0.6280422594473954;0.00664675031745575;0.597969013959161;0.004443122703145447;0.5449080263458227;0.004294433602831314;0.5198642015457153;0.05099471588399764
SVDD_RBF_0.05_scale;0.512490362735057;0.0032026838740988567;0.8115289435941404;0.026849596262629467;0.628030689790144;0.006719528866746889;0.5979926933454495;0.004469763331967195;0.5449226505043078;0.004320452516367588;0.543490195274353;0.04951300052169768
SVDD_RBF_0.1_scale;0.5142741587474637;0.0035564789691092664;0.8019866260890426;0.029263466493428904;0.626418703549241;0.0070400119902558666;0.5987060498781043;0.004725435548451998;0.5472192638701424;0.004502844397282865;0.5762984037399292;0.03658540032151964
SVDD_RBF_0.2_scale;0.523216269725662;0.005303939054789054;0.7419224682352452;0.030790070562539046;0.6132908186898898;0.00807668587485924;0.6003642787410615;0.00501263976760079;0.5572101615884998;0.005801646541445535;0.735867953300476;0.04054325281929513
SVDD_RBF_0.3_scale;0.5337389934937471;0.004903402614151567;0.6610749339094395;0.02890330314612453;0.5902594151298;0.009833810795224282;0.6002596298368756;0.004574185842500895;0.5657090763411456;0.004401548361286109;0.9784592866897583;0.03200470457731378
SVDD_RBF_0.4_scale;0.5447284834488922;0.0024762527047653363;0.570438692960123;0.031207332508035465;0.5568620932088709;0.014770055804101396;0.599000007301791;0.004450477611053204;0.5706679048953424;0.003048749123832905;1.2158706903457641;0.03361882266086947
SVDD_RBF_0.5_scale;0.5545252290213748;0.003499355719697397;0.4747365960067057;0.03309188611314771;0.5108830319686843;0.018602975395078592;0.5978592126303841;0.005017253740312026;0.5704630019274364;0.003209637926697858;1.4623499870300294;0.03707101318046653
SVDD_RBF_0.6_scale;0.5643605360703667;0.006068142199066138;0.3835749486884006;0.033267387965627;0.45593323765257104;0.02373099543244448;0.5968020273429284;0.005862755252381293;0.567771367254192;0.005387772013272422;1.7312527179718018;0.027985350559479448
SVDD_RBF_0.7_scale;0.5813528641090748;0.005710403791164717;0.2886769511708846;0.027365816078324567;0.3850091692087697;0.02418181973289332;0.5945400912252319;0.006040137056955223;0.5645532372002988;0.004145135393396372;1.9922403812408447;0.03501752246808885
SVDD_RBF_0.8_scale;0.5961289395591278;0.004481233909373149;0.19285205535302552;0.023408485714628287;0.29061207561127433;0.026802903418047384;0.5924290321509769;0.0055999744011944914;0.5557471787462858;0.003634742297595828;2.224556565284729;0.043449447725934995
SVDD_RBF_0.9_scale;0.609355980064948;0.008526230538300433;0.09881811217937043;0.020773941274563928;0.16926726730505887;0.03055162402462506;0.5898257453945559;0.005484422272270282;0.5432840493843389;0.004512659897442693;2.464391016960144;0.050165006108954475
