Parametros;precisao-mean;precisao-std;revocacao-mean;revocacao-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;acuracia-mean;acuracia-std;tempo-mean;tempo-std
SVDD_RBF_0.001_scale_5_[384, 256]_[2, 4, 6, 8, 10]_concatenate;0.731413447456641;0.04536217519004012;0.7046564928738133;0.07396819122646815;0.7162717552762963;0.05487825097935366;0.8178485393749642;0.049916569355328996;0.7341837255576042;0.043565002839496575;0.02162930965423584;0.0016283709880076764
SVDD_RBF_0.01_scale_5_[384, 256]_[2, 4, 6, 8, 10]_concatenate;0.7309086966862245;0.04510363391176495;0.74318695760542;0.061228661462732294;0.7358262832772929;0.045114923169844785;0.8197615204353328;0.04835055294807939;0.7449004594180705;0.040801262735052315;0.02268075942993164;0.00220017407537319
SVDD_RBF_0.05_scale_5_[384, 256]_[2, 4, 6, 8, 10]_concatenate;0.7304308214138884;0.04522505742756945;0.7439326581016472;0.06275975497776735;0.7359261794331236;0.04590975215780911;0.819613028110662;0.04817119384340652;0.7448494910981237;0.04134308144864333;0.02301311492919922;0.0021994828494282847
SVDD_RBF_0.1_scale_5_[384, 256]_[2, 4, 6, 8, 10]_concatenate;0.7306789528343826;0.04530391725935316;0.742017764484626;0.06063400667106757;0.7352357173169589;0.04570135731122896;0.8197127450758247;0.048097249261496104;0.7444923221968727;0.04145737389157979;0.023203706741333006;0.0027588405423173115
SVDD_RBF_0.2_scale_5_[384, 256]_[2, 4, 6, 8, 10]_concatenate;0.7397506217043753;0.04563344908825101;0.6969987311082411;0.07765654849550929;0.7162173742273837;0.059134748133955486;0.8247122559127202;0.04545800129511382;0.7373992353449803;0.04575027933533526;0.02646174430847168;0.0025844410692557832
SVDD_RBF_0.3_scale_5_[384, 256]_[2, 4, 6, 8, 10]_concatenate;0.7474323979046646;0.05081645024329661;0.6169809439648335;0.09772690802834937;0.6736729190472286;0.07775719584613651;0.8276733390113573;0.04140996150380739;0.7179079549124397;0.054326912868680785;0.03078460693359375;0.0036330302942210514
SVDD_RBF_0.4_scale_5_[384, 256]_[2, 4, 6, 8, 10]_concatenate;0.7618869102428872;0.06228046426295815;0.5199296444837197;0.12800521946479965;0.6119741834918185;0.10599919722037424;0.8310339538507266;0.03951759792717975;0.6942307612171974;0.062403341103462295;0.032783889770507814;0.002462991340513301
SVDD_RBF_0.5_scale_5_[384, 256]_[2, 4, 6, 8, 10]_concatenate;0.7715205008174595;0.06296386239511642;0.4573531144495049;0.12869105365547573;0.5672243439065026;0.1163478062412998;0.8334111137102067;0.03836665079161864;0.6780032242606079;0.06178367420448443;0.03342289924621582;0.0013398171446995222
SVDD_RBF_0.6_scale_5_[384, 256]_[2, 4, 6, 8, 10]_concatenate;0.7932316116779049;0.057394219192028174;0.4043564906079351;0.1303286959037865;0.5262875353694305;0.1264618843942159;0.8350040976851165;0.03704079922496982;0.666725109645696;0.05970412781168548;0.03696603775024414;0.0016881149256589391
SVDD_RBF_0.7_scale_5_[384, 256]_[2, 4, 6, 8, 10]_concatenate;0.8111664819213253;0.059937323589263104;0.34879704529490396;0.11937498427130445;0.47821657902151476;0.12553894255149534;0.8353281187035801;0.035322988020426445;0.6509554802012689;0.05423549639837566;0.03952856063842773;0.0013530245323010084
SVDD_RBF_0.8_scale_5_[384, 256]_[2, 4, 6, 8, 10]_concatenate;0.8225581581121915;0.061506210779324534;0.2829093875331385;0.10082203361417126;0.4122645266059054;0.11513116971000384;0.8349147565536083;0.0339560778752009;0.6278366200998009;0.04469555273162832;0.043440937995910645;0.0031553180040675144
