Parametros;precisao-mean;precisao-std;revocacao-mean;revocacao-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;acuracia-mean;acuracia-std;tempo-mean;tempo-std
SVDD_RBF_0.001_scale_[2, 4, 6, 8, 10];0.5145748025084235;0.019984290554835662;0.7974887272562482;0.08959911309296355;0.6228476091705788;0.024877889898101777;0.5591280077866235;0.06259182555572562;0.5396977060349407;0.02702786357311654;0.013867855072021484;0.0008200131675937389
SVDD_RBF_0.01_scale_[2, 4, 6, 8, 10];0.5148887663172843;0.0200303504967145;0.8038734053882581;0.08775920279945713;0.6251212769460459;0.024737489905494698;0.5599356972662402;0.06653999832739582;0.5403612057380379;0.02698500864383779;0.014237570762634277;0.0009566735316261871
SVDD_RBF_0.05_scale_[2, 4, 6, 8, 10];0.5146164829701554;0.01994436194646467;0.8045115899666916;0.0871904784752901;0.6251482479455167;0.02458262371864911;0.5595622675531138;0.06648066558440711;0.5400039326603536;0.02696778578108873;0.014503264427185058;0.001287318418108213
SVDD_RBF_0.1_scale_[2, 4, 6, 8, 10];0.5176706815851897;0.02354001838028352;0.7872673509618654;0.07751895667310121;0.6225546658277415;0.027322824158744607;0.5670214637528362;0.07397083355375804;0.5440860080632559;0.033752580325266235;0.01526038646697998;0.0009710826310001458
SVDD_RBF_0.2_scale_[2, 4, 6, 8, 10];0.5225401410530731;0.029528549588412827;0.7378818571137244;0.07757191239180865;0.6095407733848985;0.03303288867403582;0.5737637830923727;0.07342330001800476;0.5485252002791928;0.03985117750220229;0.016413378715515136;0.001101324266792958
SVDD_RBF_0.3_scale_[2, 4, 6, 8, 10];0.5293409460837194;0.042482977054555233;0.641462624340063;0.10375781744395776;0.5752877315222561;0.05160944015345881;0.579525736377074;0.07964534205053374;0.5508742746715838;0.04899110517198421;0.018591642379760742;0.0007225561620123424
SVDD_RBF_0.4_scale_[2, 4, 6, 8, 10];0.5422009102878818;0.05151510454378689;0.574415403439603;0.09295842615930182;0.5529772667683632;0.055240132762528156;0.5896368691473146;0.07492418063920575;0.5589873269369005;0.05172715510449825;0.020812678337097167;0.0010983657649465703
SVDD_RBF_0.5_scale_[2, 4, 6, 8, 10];0.5541764438035184;0.06999405796781345;0.48629596900278704;0.07989731576140613;0.512201373971611;0.052867411448102065;0.5908873445374343;0.06912989725313509;0.5587827244220812;0.05404023434068289;0.022913599014282228;0.0009555923200534837
SVDD_RBF_0.6_scale_[2, 4, 6, 8, 10];0.5742393785407859;0.09208072359842051;0.4007178301950921;0.06505846187152944;0.46596489019671905;0.05320542926425544;0.5890607389739481;0.06011199707735179;0.5612326936900336;0.05514069963122394;0.024958062171936034;0.0008865450522820053
SVDD_RBF_0.7_scale_[2, 4, 6, 8, 10];0.6063422296498212;0.1170018965454157;0.31195499966011825;0.06135589817638771;0.4050971896198754;0.056253512210336136;0.5815215639401933;0.051423676878926135;0.5642463095498536;0.04529834417109248;0.02743537425994873;0.0010485544538670398
SVDD_RBF_0.8_scale_[2, 4, 6, 8, 10];0.6368265717504697;0.14038413291934201;0.22744714839235947;0.06375331973168202;0.32858743952427366;0.07101061758986288;0.5783454516717071;0.04835233425620996;0.5616447375274766;0.03716136179609672;0.029169034957885743;0.0009906332289043287
SVDD_RBF_0.9_scale_[2, 4, 6, 8, 10];0.6664784826589523;0.1701994000593087;0.11356887136609792;0.05455116454951607;0.18840782945222528;0.08132903564089894;0.5762547997741232;0.04494184005377695;0.5456223760560885;0.023221804856167438;0.031037616729736327;0.0010880266837666414
SVDD_RBF_0.001_scale_[3, 5, 7, 9];0.4896345171200164;0.028255324561709046;0.791821312849795;0.08574357749531072;0.6043518324487779;0.043413490047960517;0.5292171984149515;0.06031933043515841;0.5056134689710493;0.04249750329087248;0.01320035457611084;0.00046142061215901416
SVDD_RBF_0.01_scale_[3, 5, 7, 9];0.49004398307659003;0.03234221277369453;0.8102330455668094;0.08999796736753105;0.6099331931916004;0.04740420434958023;0.5243459257289576;0.058894488890153696;0.5057658530487232;0.04979040813285182;0.01308739185333252;0.000553549280126799
SVDD_RBF_0.05_scale_[3, 5, 7, 9];0.490329032418588;0.03188978093553035;0.8108714567330569;0.08900611854573907;0.610364371664872;0.046884694997453714;0.5240312164700017;0.05872585807577889;0.5062251408986259;0.04916708292155518;0.013330602645874023;0.0005139822972726609
SVDD_RBF_0.1_scale_[3, 5, 7, 9];0.48855475012579336;0.03212569729130533;0.789580132780459;0.0930582880406502;0.602723658433242;0.048289327609235454;0.5241039821475459;0.059078272747143216;0.5040302476273817;0.04879181954038139;0.013864541053771972;0.0005280597304309425
SVDD_RBF_0.2_scale_[3, 5, 7, 9];0.49549567330159483;0.041752752769200416;0.7171033013844516;0.10318723610636824;0.5846876679954824;0.059563684031748755;0.533333365766491;0.0725687022370474;0.5157140513173111;0.05703520120886052;0.0165496826171875;0.0004421216696852112
SVDD_RBF_0.3_scale_[3, 5, 7, 9];0.5047429150817391;0.05518241315858352;0.6421790950082705;0.11242421961216138;0.5638061989926217;0.07627188249421582;0.5457394127954582;0.08254301680724863;0.5291329135023075;0.06788403252987621;0.018309259414672853;0.000789995816949367
SVDD_RBF_0.4_scale_[3, 5, 7, 9];0.5150336034046172;0.05849833230582462;0.5535359028391453;0.10306749919427485;0.5313419654072904;0.07774206714097587;0.5509683424612678;0.08208748653502632;0.5379621527018158;0.0616084392107138;0.020522928237915038;0.0006478953817340985
SVDD_RBF_0.5_scale_[3, 5, 7, 9];0.5259385296410845;0.05730431898508841;0.4801001518138355;0.08556473481897159;0.49947834046660616;0.0693407650021852;0.5553267250774508;0.07836516149898795;0.5436276057130357;0.05183162977407561;0.02291567325592041;0.000636814588108106
SVDD_RBF_0.6_scale_[3, 5, 7, 9];0.5496345957345397;0.06406024484044683;0.3898539641538078;0.07980390917804189;0.45235957745009736;0.06955330969471231;0.5458735216811216;0.06203448510697312;0.553631955079122;0.043353139811700823;0.024843215942382812;0.0007710959103208424
SVDD_RBF_0.7_scale_[3, 5, 7, 9];0.5687069398594286;0.06169793082266346;0.32173181066322254;0.07428024864442463;0.4062903511566149;0.07051121808407408;0.535626906836421;0.05180954185650745;0.5572047900323989;0.033069790472980934;0.02688300609588623;0.0006843208763078349
SVDD_RBF_0.8_scale_[3, 5, 7, 9];0.5926794692325441;0.0703224805054784;0.23254390138898332;0.05419536316063159;0.33105064676740553;0.06554630993152674;0.5374178601402269;0.043346132558168056;0.5553670396182976;0.028417446615751005;0.029013609886169432;0.0009015111450649576
SVDD_RBF_0.9_scale_[3, 5, 7, 9];0.6088207452782648;0.0946753802250773;0.11483889606416967;0.04962579085764967;0.18958472443892715;0.07356978941111099;0.5371002698838583;0.03876192625135987;0.5412320686314341;0.020428791447461275;0.031115388870239256;0.0010641672899553793
SVDD_RBF_0.001_scale_[2, 3, 4, 5, 6, 7, 8, 9, 10];0.5099223959793868;0.03084018533083784;0.7738497269616841;0.10139518421890434;0.6126765165793266;0.04932534420615477;0.5598648137114951;0.05868547911362188;0.5351575147670096;0.04612401571109754;0.014066696166992188;0.0009812349375903807
SVDD_RBF_0.01_scale_[2, 3, 4, 5, 6, 7, 8, 9, 10];0.5112614617319728;0.029982771578774162;0.7828910339201958;0.09893781158003062;0.6165657518486883;0.04718047556957431;0.5616108601984287;0.057508162789536715;0.5370448010751007;0.04513953341245981;0.014595651626586914;0.000926984430740066
SVDD_RBF_0.05_scale_[2, 3, 4, 5, 6, 7, 8, 9, 10];0.511231942330245;0.03007064783877346;0.7826784945505632;0.09886841549680526;0.6165025572263063;0.0473597677073825;0.5616558326591234;0.057396006822289736;0.5370448010751009;0.04526673918608951;0.014677166938781738;0.0009015556647699073
SVDD_RBF_0.1_scale_[2, 3, 4, 5, 6, 7, 8, 9, 10];0.5100386133994665;0.030483929011326592;0.772245825119525;0.09604610969623333;0.6124785497865407;0.047115583709802004;0.5655860673818844;0.05142995680672219;0.535156186517486;0.04524259198073082;0.015444445610046386;0.0008923658224133417
SVDD_RBF_0.2_scale_[2, 3, 4, 5, 6, 7, 8, 9, 10];0.5139789134581407;0.03262281725479897;0.7200947137062969;0.09025553483725167;0.5982424318657513;0.049227427278702544;0.573860879191819;0.05855057358190864;0.5397988613515851;0.044714260482396836;0.017205166816711425;0.00045751935242907316
SVDD_RBF_0.3_scale_[2, 3, 4, 5, 6, 7, 8, 9, 10];0.5254240148945095;0.04119357625108071;0.6343200099698638;0.10513931353361798;0.5717401609536317;0.06237286542433997;0.582625220534365;0.061493125447232455;0.5504114969111688;0.049136687552916135;0.019754886627197266;0.000545491278071811
SVDD_RBF_0.4_scale_[2, 3, 4, 5, 6, 7, 8, 9, 10];0.5357325872076477;0.05161847537553061;0.5530186028595383;0.10738894204739552;0.5402185900950849;0.07280785683474852;0.592058362689784;0.06411800226585124;0.5564342490441813;0.04976286465130861;0.02293109893798828;0.000475537974030349
SVDD_RBF_0.5_scale_[2, 3, 4, 5, 6, 7, 8, 9, 10];0.5541802159755085;0.06761638094298113;0.4763906827090839;0.0867824016076691;0.5080060801867177;0.06711263865502863;0.5903913329272524;0.06362640075099031;0.562608812284485;0.049654330403555685;0.025239849090576173;0.0009173048243730661
